imie	nazwisko	pesel	email	odpowiedzialny	
Piotr	Przewalski	72102399456	p.przewalski@gmail.com	10794971	
Heliodor	Armiński	72110158094	arminski@o2.pl	54065091	
Barnaba	Szklarski	72110803314	szklarski1@gmail.com	3501495	
Strzeżymir	Różycki	72110939934	rozycki@o2.pl	77413520	
Julisława	Waglewska	72111349729	waglewska1@o2.pl	24376606	
Julianna	Pakosz	72111522485	pakosz@o2.pl	48951545	
Romana	Gancarczyk	72112456800	r.gancarczyk@wp.pl	25846662	
Idzi	Wodzyński	72112579578	wodzynski@gmail.com	67279666	
Bogumił	Krudowski	72112604876	b.krudowski@onet.pl	99930760	
Jarema	Marcinkiewicz	72112677696	marcinkiewicz@amorek.com.pl	50266370	
Delfina	Hermanowicz	72112684382	hermanowicz@wp.pl	82728085	
Oswald	Lipiński	72112988851	o.lipinski@o2.pl	74901470	
Olga	Rybicka	72120195261	o.rybicka@onet.pl	60337038	
Magnus	Łuczak	72120455932	m.luczak@gmail.com	69740666	
Rudolf	Kotowicz	72121029013	r.kotowicz@onet.pl	48509320	
Pamela	Paluszkiewicz	72122087483	paluszkiewicz@onet.pl	56614387	
Gracjan	Bojanowski	72122448992	g.bojanowski@amorek.com.pl	50083433	
Paweł	Kopiczko	72122612731	p.kopiczko@amorek.com.pl	88615897	
Gwido	Kraszewski	72122893815	g.kraszewski@amorek.com.pl	40442739	
Mojmira	Leniart	72123049208	m.leniart@amorek.com.pl	54750778	
Zwinisław	Pazderski	73010451054	pazderski@buziaczek.pl	96136025	
Konstancjusz	Olejniczak	73010529357	olejniczak@onet.pl	49023659	
Cinosława	Sękiewicz	73010945722	sekiewicz11@amorek.com.pl	73037454	
Krystyn	Nowakowski	73011465555	nowakowski@amorek.com.pl	28510521	
Łazarz	Kubicz	73011491932	l.kubicz@wp.pl	73679288	
Agaton	Jagałła	73012429075	a.jagalla@amorek.com.pl	12666125	
Arabella	Ciechanowska	73020608006	a.ciechanowska@o2.pl	18738995	
Ingryda	Sicińska	73021673445	sicinska@gmail.com	27759940	
Feliks	Peretjatkowicz	73021923397	f.peretjatkowicz@buziaczek.pl	69657648	
Albertyna	Halicka	73022108221	halicka@wp.pl	32263447	
Witołd	Weryszko	73022672313	w.weryszko@wp.pl	52661370	
Wszebor	Ojrzyński	73030128497	w.ojrzynski@onet.pl	36956137	
Budzisław	Komornicki	73032091850	komornicki@wp.pl	1286227	
Selena	Perepeczko	73032289026	perepeczko1@buziaczek.pl	72692883	
Denis	Żmuda	73032674897	zmuda1@onet.pl	91356508	
Bożan	Adamkiewicz	73033109611	adamkiewicz@amorek.com.pl	62565276	
Fera	Dunajewska	73040798941	dunajewska@onet.pl	40606234	
Kwietosław	Paruch	73041223277	paruch1@gmail.com	38246006	
Dżem	Skoczylas	73042145512	skoczylas1@o2.pl	24713057	
Huberta	Stępkowska	73042239688	stepkowska@gmail.com	68540221	
Iwo	Iwanicki	73042408712	iwanicki@wp.pl	48718681	
Lech	Korzeniak	73042506618	korzeniak@buziaczek.pl	90626761	
Natan	Statkowski	73042870652	statkowski@buziaczek.pl	31319359	
Aida	Drewnowska	73043077942	drewnowska@onet.pl	32620034	
Bogusław	Puchała	73050528619	puchala@buziaczek.pl	40638852	
Marcjana	Grabska	73051036348	m.grabska@wp.pl	26189964	
Hanna	Nowińska	73051090067	h.nowinska@gmail.com	46500768	
Julianda	Zdanowicz	73051630726	j.zdanowicz@buziaczek.pl	20394817	
Delia	Pajączkowska	73051754105	d.pajaczkowska@gmail.com	20299870	
Estera	Andrzejewska	73051826860	andrzejewska@gmail.com	11153350	
Leon	Szczepanowski	73052000632	szczepanowski@gmail.com	25624066	
Tybita	Staszewska	73052038462	staszewska@buziaczek.pl	26993934	
Modest	Olejniczak	73052133013	m.olejniczak@amorek.com.pl	73379263	
Anastazy	Świejkowski	73052224773	a.swiejkowski@buziaczek.pl	10675195	
Olga	Mederska	73052265660	mederska@o2.pl	2966222	
Kajusz	Berezowski	73052977374	k.berezowski@buziaczek.pl	43127903	
Jaromiła	Kaja	73053089825	j.kaja@onet.pl	20442396	
Józefa	Krupińska	73061210303	j.krupinska@gmail.com	68182005	
August	Chodura	73061740871	a.chodura@amorek.com.pl	9145593	
Paulina	Borowska	73070127582	p.borowska@o2.pl	80024771	
Amalia	Szczawińska	73070150744	szczawinska@o2.pl	69782362	
Subisława	Grodzicka	73070152128	grodzicka1@o2.pl	6482805	
Bożenna	Szlawska	73070609408	szlawska1@gmail.com	35706003	
Ota	Cholewczyńska	73071936466	o.cholewczynska@o2.pl	35706003	
Cezar	Obtułowicz	73072003675	c.obtulowicz@gmail.com	86467205	
Klara	Krajewska	73072263387	krajewska@onet.pl	88755338	
Maryla	Zagumny	73072351266	zagumny@o2.pl	137434	
Adnan	Święcicki	73072564457	swiecicki@amorek.com.pl	51822636	
Latifa	Zgorzelska	73072827947	zgorzelska@onet.pl	31368386	
Ambroży	Leśków	73072887778	leskow@o2.pl	35112035	
Sławek	Abakanowicz	73080114099	s.abakanowicz@buziaczek.pl	69629225	
Anatolia	Synal	73080118963	a.synal@amorek.com.pl	30382058	
Lena	Skubiszewska	73080342281	l.skubiszewska@buziaczek.pl	71473061	
Petroniusz	Szczepanik	73080857239	p.szczepanik@onet.pl	31540912	
Protazy	Tarczyński	73080988038	p.tarczynski@gmail.com	6794064	
Walerian	Pawełczyk	73081143317	pawelczyk@amorek.com.pl	59165910	
Florentyna	Bury	73081347568	f.bury@onet.pl	98083028	
Lechosław	Konopczyński	73081610051	l.konopczynski@buziaczek.pl	49950420	
Ingryda	Bartyzel	73081945766	bartyzel11@gmail.com	7496616	
Dyzma	Zielińska	73082757186	d.zielinska@gmail.com	46099337	
Bogusz	Garbowski	73083156274	b.garbowski@o2.pl	11033860	
Magnus	Jabłonowski	73090126811	m.jablonowski@onet.pl	21291247	
Marcela	Antos	73090827743	m.antos@gmail.com	90133049	
Ewa	Słodkowska	73091310242	slodkowska1@wp.pl	75598645	
Mojmir	Koziej	73091332271	m.koziej@wp.pl	74913061	
Tymora	Janicka	73091501664	janicka@wp.pl	76131057	
Greta	Biernacka	73100337943	biernacka@wp.pl	46020120	
Telimena	Wilczyńska	73101011826	wilczynska1@o2.pl	66747317	
Laura	Kuryłowicz	73101310222	kurylowicz@amorek.com.pl	22706362	
Hestia	Drewnowicz	73101407667	drewnowicz@o2.pl	11847227	
Miłogost	Olechnowicz	73101564553	m.olechnowicz@amorek.com.pl	23737688	
Oliwia	Narzymska	73101688789	narzymska1@onet.pl	58860063	
Ezaw	Wojnowski	73101887874	wojnowski@onet.pl	58552072	
Pola	Przypkowska	73101979603	p.przypkowska@amorek.com.pl	99673744	
Alojza	Sochacka	73102553022	sochacka@onet.pl	68182005	
Miłosz	Piwowarczyk	73102709096	m.piwowarczyk@amorek.com.pl	28739465	
Jowita	Rusek	73102933024	j.rusek@onet.pl	23971620	
Tybita	Sytek	73103048561	t.sytek@buziaczek.pl	45348584	
Tekla	Nowacka	73103140348	nowacka@gmail.com	84867395	
Kamil	Tomaszewski	73110277437	k.tomaszewski@o2.pl	92199577	
Hiacynt	Wasiak	73111254178	wasiak@wp.pl	10807314	
Inga	Klimczuk	73111306783	klimczuk@buziaczek.pl	60854047	
Ewalda	Osińska	73111713545	e.osinska@wp.pl	31482026	
Jaromira	Roguska	73111737941	j.roguska@wp.pl	86504467	
Danuta	Panowicz	73112054326	d.panowicz@o2.pl	24648226	
Bogumił	Pilarski	73112887232	pilarski@amorek.com.pl	94099064	
Brunon	Janowski	73120490592	b.janowski@onet.pl	66933217	
Sonia	Malanowska	73120891089	malanowska1@amorek.com.pl	25259891	
Milan	Wołk-Lewanowicz	73121159191	wolk-lewanowicz11@gmail.com	92619942	
Laura	Jabłońska	73122635669	jablonska@amorek.com.pl	29623541	
Rajmunda	Andrzejewska	73122751422	r.andrzejewska@gmail.com	83548098	
Orian	Świdziński	74010916554	swidzinski@buziaczek.pl	65229172	
Milomira	Kasprowicz	74011243000	kasprowicz@gmail.com	63982915	
Kasper	Orłowski	74011298352	k.orlowski@buziaczek.pl	73550782	
Bożydar	Kraszewski	74011450974	kraszewski@onet.pl	84747024	
Henrieta	Kicka	74011487048	h.kicka@gmail.com	54529627	
Kastor	Marcinkowski	74011495650	marcinkowski@o2.pl	40817045	
Pola	Zgorzelska	74012169523	p.zgorzelska@amorek.com.pl	60854047	
Mojmira	Peretjatkowicz	74012296243	m.peretjatkowicz@wp.pl	78455574	
Pabiana	Łączkowska	74012471086	p.laczkowska@o2.pl	13900997	
Klemens	Jabłoński	74012596251	jablonski@onet.pl	67988426	
Richariusz	Nisau	74013087536	r.nisau@gmail.com	82859832	
Sylwester	Brodowicz	74020646676	s.brodowicz@gmail.com	75003032	
Fryderyk	Szczutowski	74020696770	f.szczutowski@o2.pl	83120837	
Grzymisław	Baj	74021086514	g.baj@o2.pl	80566707	
Ronald	Majerski	74021143394	majerski@o2.pl	43318463	
Sylwan	Maculewicz	74022462757	s.maculewicz@buziaczek.pl	74392976	
Olga	Tomaszewska	74022543902	tomaszewska@amorek.com.pl	91622380	
Radowit	Stephan	74022840931	r.stephan@buziaczek.pl	89736320	
Hortensja	Oborska	74030437947	oborska1@gmail.com	63975153	
Honorat	Małachowski	74030814397	malachowski1@wp.pl	88359031	
Unima	Stępień	74031661424	stepien@onet.pl	22880916	
Malina	Słabowska	74031969904	m.slabowska@amorek.com.pl	52661370	
Radogost	Keffermüller	74032024811	r.keffermuller@gmail.com	43449569	
Józefina	Marciniak	74032430047	j.marciniak@o2.pl	8009547	
Flawia	Sochacka	74032597780	f.sochacka@gmail.com	83026064	
Jokasta	Pawlicka	74032629122	j.pawlicka@wp.pl	8793379	
Dargosław	Milewski	74040155934	milewski@buziaczek.pl	17000790	
Bogumił	Sękiewicz	74040174694	b.sekiewicz@wp.pl	20036870	
Kinga	Słabowska	74040497007	k.slabowska@amorek.com.pl	22131690	
Łukasz	Świejkowski	74041014315	l.swiejkowski@gmail.com	10080378	
Artur	Szablewski	74041169176	a.szablewski@onet.pl	14684908	
Boguchwała	Chodura	74041296247	b.chodura@gmail.com	1251041	
Sędomira	Brodowicz	74041965406	s.brodowicz@o2.pl	46500768	
Zbigniew	Danielak	74042071814	z.danielak@amorek.com.pl	30337298	
Sława	Gryga	74042463361	gryga@onet.pl	84867395	
Dariusz	Stroiński	74042517114	stroinski1@o2.pl	82849361	
Placyda	Zawadzki	74050383462	p.zawadzki@wp.pl	53787682	
Lilianna	Maciejewska	74051045385	l.maciejewska@onet.pl	97012544	
Hiacynt	Zagumny	74051164899	h.zagumny@onet.pl	25353714	
Derwit	Dyrcz	74051221891	dyrcz@gmail.com	66077221	
Leokadia	Malińska	74051514243	l.malinska@onet.pl	60338234	
Renat	Kocot	74051747577	r.kocot@amorek.com.pl	71923133	
Selena	Kaczorowska	74051757464	kaczorowska@wp.pl	51302865	
Tęgomir	Budzynowski	74052499015	t.budzynowski@onet.pl	25757032	
Bogumiła	Roszkowska	74052575685	b.roszkowska@amorek.com.pl	81166374	
Rafał	Giergielewicz	74052637330	r.giergielewicz@gmail.com	31351148	
Symplicjusz	Paradowski	74052685319	paradowski@gmail.com	97126718	
Hermenegilda	Ochab	74052798961	ochab1@amorek.com.pl	94398733	
Stefania	Glinka	74060722042	s.glinka@onet.pl	93395137	
Unima	Gąsiorowska	74060980264	u.gasiorowska@wp.pl	8264153	
Betina	Peretjatkowicz	74061048006	peretjatkowicz11@buziaczek.pl	3821479	
Ariel	Wróblewski	74061177971	a.wroblewski@amorek.com.pl	11562866	
Minerwa	Jakimowicz	74061436368	jakimowicz1@onet.pl	15998377	
Mina	Szebesta	74061631060	m.szebesta@gmail.com	8932448	
Adam	Łagodzki	74061694214	a.lagodzki@buziaczek.pl	59595830	
Prot	Marcinkiewicz	74061703411	marcinkiewicz1@buziaczek.pl	88359031	
Hubertyna	Paszek	74061715089	paszek1@gmail.com	18907041	
Karol	Zdanowicz	74062018938	k.zdanowicz@gmail.com	86829868	
Maryna	Rybicka	74062134524	m.rybicka@buziaczek.pl	85443651	
Klaudyna	Janczak	74063076643	k.janczak@o2.pl	8454373	
Herma	Wójcicka	74070285629	h.wojcicka@wp.pl	66747317	
Sylwana	Wielowieyska	74070314440	s.wielowieyska@buziaczek.pl	9565373	
Liwia	Muszyńska	74070341002	muszynska@wp.pl	93923668	
Jonasz	Śliwicki	74070439592	j.sliwicki@buziaczek.pl	95586528	
Greta	Sarnawska	74071073308	g.sarnawska@gmail.com	71455694	
Cezary	Grocholski	74071186431	c.grocholski@onet.pl	72180236	
Kalina	Surdykowska	74071426465	k.surdykowska@buziaczek.pl	65141125	
Herma	Stróżek	74072488129	h.strozek@wp.pl	87525596	
Macieja	Czekalska	74072656429	czekalska@onet.pl	8518718	
Symeon	Gawkowski	74080421936	gawkowski@gmail.com	69286934	
Serafina	Nowicka	74080430044	nowicka@amorek.com.pl	34402573	
Daniel	Pągowski	74080610592	pagowski@buziaczek.pl	88874583	
Sobiesława	Damboń	74081093664	s.dambon@buziaczek.pl	87058871	
Wrocisław	Dobiecki	74081196411	w.dobiecki@onet.pl	22767187	
Beata	Dziubińska	74081524508	dziubinska@wp.pl	2973975	
Benigna	Bohosiewicz	74082168666	bohosiewicz@amorek.com.pl	62042757	
Regina	Halicka	74082401068	halicka@amorek.com.pl	28739465	
Ariel	Świerczewski	74082843091	swierczewski1@amorek.com.pl	45664959	
Andrzeja	Kuczera	74082917901	a.kuczera@wp.pl	69739841	
Erazm	Zgorzelski	74090880734	zgorzelski@o2.pl	89384128	
Alana	Grodzicka	74091966389	grodzicka@onet.pl	45229496	
Myślimir	Olejniczak	74092856456	m.olejniczak1@amorek.com.pl	39108970	
Cyryla	Cholewczyńska	74092999007	c.cholewczynska@wp.pl	13809047	
Edyta	Stróżek	74100295765	strozek@gmail.com	12823176	
Izajasz	Fogiel	74100674353	fogiel@gmail.com	56123201	
Ambroży	Platajs	74100714192	platajs@wp.pl	82570749	
Maksa	Wróblewska	74101142448	wroblewska@amorek.com.pl	12567573	
Dajmira	Jałoszyńska	74102413389	jaloszynska@buziaczek.pl	23026790	
Marcel	Winnicki	74102618074	winnicki1@gmail.com	67043412	
Jolanta	Masny	74102703103	masny@o2.pl	60376141	
Henrieta	Szebesta	74102757027	szebesta@gmail.com	33687195	
Idalia	Drzewiecka	74110221327	drzewiecka@amorek.com.pl	14449655	
Jaromira	Zawadzki	74110555680	zawadzki1@amorek.com.pl	90389914	
Stefania	Zych	74111075802	s.zych@amorek.com.pl	59937203	
Ilona	Ryś	74112707542	i.rys@o2.pl	22403416	
Hadriana	Szczęsny	74112779460	szczesny11@wp.pl	33308273	
Samir	Umiński	74112965870	uminski@buziaczek.pl	87457856	
Konradyn	Groński	74120222978	gronski@buziaczek.pl	73612575	
Sergiusz	Baliś	74120272010	s.balis@o2.pl	24398487	
Greta	Dąbkowska	74120413840	dabkowska@buziaczek.pl	16752924	
Wojsław	Krzyżanowski	74120623212	w.krzyzanowski@onet.pl	54750778	
Dżesika	Szablewska	74120915021	szablewska@o2.pl	40158462	
Ksawery	Niemojowski	74121042115	k.niemojowski@buziaczek.pl	83879047	
Norman	Zając	74122479798	zajac@buziaczek.pl	47930594	
Lejla	Kozubowska	74122615165	kozubowska@wp.pl	24140055	
Karyna	Chomicka	74123149247	chomicka@onet.pl	50333250	
Miłowita	Wojtaczka	75010163502	wojtaczka@amorek.com.pl	7316936	
Dagna	Gucwa	75010257005	gucwa@amorek.com.pl	14787786	
Orest	Zaucha	75010521858	zaucha@o2.pl	43895115	
Emil	Jurczyk	75010776616	e.jurczyk@buziaczek.pl	43664030	
Danuta	Kurtyka	75010967342	kurtyka@buziaczek.pl	75734433	
Delinda	Bartyzel	75011632247	d.bartyzel@o2.pl	44438708	
Beatrycze	Sękiewicz	75012147843	sekiewicz@wp.pl	71003221	
Jeremi	Kuraś	75012219010	j.kuras@wp.pl	60124258	
Cecylian	Michałowski	75012630510	c.michalowski@onet.pl	75174081	
Dżamil	Jagałła	75012727511	jagalla@buziaczek.pl	19696804	
Hermes	Panasewicz	75012804694	h.panasewicz@amorek.com.pl	23693497	
Nataniel	Grochowiak	75021027194	grochowiak@onet.pl	52422998	
Tybita	Niemojowska	75021300307	t.niemojowska1@gmail.com	48355072	
Huberta	Błaszczykowska	75021457504	blaszczykowska@onet.pl	79985551	
Wojciech	Jakimowski	75022652472	jakimowski@amorek.com.pl	959739	
Julia	Tyszka	75030479306	j.tyszka@buziaczek.pl	26955808	
Miłowita	Kubicz	75031592684	m.kubicz@o2.pl	44908198	
Polikarp	Tarkowski	75032132014	p.tarkowski@amorek.com.pl	43449569	
Dąbrówka	Wolny	75032825600	d.wolny@buziaczek.pl	32517485	
Tulimierz	Korona	75032909919	t.korona@onet.pl	2208477	
Roderyk	Mączyński	75032966310	maczynski@o2.pl	92642367	
Ula	Czerwińska	75040824084	u.czerwinska@amorek.com.pl	73702457	
Nadia	Remiszewska	75042274962	remiszewska@onet.pl	47265079	
Ernesta	Mołdrzyk	75042764322	e.moldrzyk@o2.pl	90074060	
Ferdynanda	Muszyńska	75050150326	f.muszynska@wp.pl	21336135	
Ludwika	Pietrasiak	75050686142	pietrasiak1@amorek.com.pl	36393226	
Aron	Gucwa	75050825574	gucwa@o2.pl	24303007	
Metody	Ojrzyński	75050867073	m.ojrzynski@gmail.com	26031989	
Rafaela	Fikus	75051835446	r.fikus@buziaczek.pl	81930233	
Marzena	Żukowska	75052175103	zukowska@wp.pl	46677452	
Gniewomir	Paruch	75052622155	g.paruch@wp.pl	58482634	
Florentyn	Podsiadło	75052837454	podsiadlo1@amorek.com.pl	58866191	
Julisława	Orzyłowska	75052990124	orzylowska@buziaczek.pl	21250798	
Tina	Jakimowska	75060254687	t.jakimowska@buziaczek.pl	48132232	
Herman	Bielicki	75060415017	bielicki@o2.pl	77438289	
Ciechosława	Moskwa	75061123603	moskwa@gmail.com	97686540	
Chociemira	Maculewicz	75061258901	c.maculewicz@buziaczek.pl	38807295	
Erwin	Przypkowski	75061706176	przypkowski@amorek.com.pl	99673744	
Beniamin	Kucharski	75062008192	kucharski@wp.pl	764791	
Albertyna	Królicka	75062098885	krolicka@o2.pl	91085	
Bazyli	Hrycyk	75062670333	b.hrycyk@wp.pl	81720776	
Hugon	Waligórski	75062828415	waligorski@gmail.com	67246097	
Mirołada	Towarnicka	75062863764	towarnicka1@o2.pl	40849551	
Damian	Górka	75062901679	d.gorka@o2.pl	22505975	
Albina	Krzyżanowska	75070359987	krzyzanowska@buziaczek.pl	49674094	
Lidia	Waśkowicz	75071274904	waskowicz@gmail.com	35112035	
Floriana	Narkiewicz	75071569303	narkiewicz1@gmail.com	46378135	
Justynian	Gawron	75072567539	gawron@amorek.com.pl	55929261	
Jarosław	Maciszewski	75072761858	j.maciszewski@gmail.com	10167627	
Roch	Tworzewski	75080273592	r.tworzewski@o2.pl	93948623	
Witold	Jarczyński	75080418951	jarczynski@buziaczek.pl	2521638	
Bożena	Frączkiewicz	75080443283	fraczkiewicz@o2.pl	34387579	
Godehard	Nawrocki	75080762890	nawrocki@buziaczek.pl	22146074	
Roksana	Matuszkiewicz	75080874267	r.matuszkiewicz@amorek.com.pl	31856667	
Tybita	Rączkowska	75080945921	t.raczkowska@wp.pl	32315120	
Wawrzyniec	Smolarek	75081016752	w.smolarek@buziaczek.pl	31787627	
Hiacynt	Wysocki	75081113855	wysocki@buziaczek.pl	19406605	
Witołd	Brodowicz	75081313958	w.brodowicz@onet.pl	77371307	
Kwiatosława	Palowicz	75081656862	k.palowicz@o2.pl	95586528	
Wit	Meysztowicz	75081846573	meysztowicz@gmail.com	54065091	
Teresa	Koziej	75082466365	t.koziej@buziaczek.pl	96684770	
Balbina	Matkowska	75082652508	b.matkowska@gmail.com	65229172	
Marcelina	Maciejowska	75082902924	maciejowska@buziaczek.pl	96684770	
Chociemira	Niementowska	75090291580	niementowska@amorek.com.pl	19494849	
Aurora	Wilczyńska	75090325504	a.wilczynska@gmail.com	3341027	
Honoriusz	Wyrwa	75090514511	wyrwa@o2.pl	31581864	
Antonia	Pluta	75090564424	a.pluta@o2.pl	14490160	
Laila	Wrzak	75090791561	wrzak@amorek.com.pl	14364563	
Walter	Orliński	75090927935	orlinski@gmail.com	19432540	
Arkadiusz	Płaczek	75091329750	placzek11@amorek.com.pl	29661221	
Janusz	Dunajewski	75091341857	dunajewski@wp.pl	42512011	
Jur	Surdykowski	75091769019	surdykowski@wp.pl	47911272	
Teofila	Szlawska	75092123186	t.szlawska@gmail.com	90133049	
Sybilla	Panowicz	75092245389	s.panowicz@amorek.com.pl	90303737	
Alicja	Teodorowicz	75092418103	teodorowicz@wp.pl	92430000	
Kajfasz	Różewicz	75092818699	rozewicz@gmail.com	45348584	
Natanael	Fornalski	75092913691	fornalski@gmail.com	3940413	
Mirabela	Dębińska	75100413968	m.debinska@buziaczek.pl	93923668	
Jędrzej	Maliński	75101022794	malinski@onet.pl	20987407	
Omar	Krupski	75101632096	o.krupski@o2.pl	48718681	
Olek	Bohosiewicz	75101684871	o.bohosiewicz@buziaczek.pl	21920970	
Farid	Lutostański	75101710675	f.lutostanski@onet.pl	99691903	
Jagoda	Sikorska	75101803665	sikorska@onet.pl	97012544	
Dobiesława	Stephan	75101815929	d.stephan@gmail.com	28121676	
Emma	Smolarek	75102594364	e.smolarek@gmail.com	78520193	
Zenobiusz	Pawełkiewicz	75102641134	pawelkiewicz@onet.pl	35858573	
Radomiła	Maciszewska	75102889220	r.maciszewska@amorek.com.pl	31415042	
Kajusz	Paszkiewicz	75103183859	k.paszkiewicz@wp.pl	76954760	
Izydor	Olekszyk	75110335472	olekszyk@amorek.com.pl	75049358	
Kosma	Kurcz	75110489652	kurcz1@buziaczek.pl	55650330	
Józefa	Gajda	75110803049	j.gajda@gmail.com	45448732	
Bogusz	Wysocki	75111410354	b.wysocki@wp.pl	31907073	
Krystiana	Dębicka	75111416909	k.debicka@buziaczek.pl	85576161	
Ernesta	Lewińska	75111669062	lewinska@gmail.com	23406838	
Eugenia	Tomaszewska	75112307923	tomaszewska1@onet.pl	7569546	
Kordian	Stajer	75112801991	stajer@o2.pl	7365801	
Aleksandra	Uryga	75120339064	a.uryga@buziaczek.pl	52516836	
Agapit	Klimczuk	75121083290	klimczuk@onet.pl	85576161	
Józef	Ciechanowski	75121314536	ciechanowski@buziaczek.pl	24404784	
Marcjanna	Jastrzębska	75122097586	jastrzebska@o2.pl	7199720	
Godfryg	Włodarczyk	75122260270	wlodarczyk11@onet.pl	75501836	
Gniewosz	Konopczyński	75122783939	konopczynski@buziaczek.pl	77201550	
Abel	Sękiewicz	76010456074	a.sekiewicz@onet.pl	55054944	
Stella	Franczak	76010531186	s.franczak@onet.pl	88359031	
Antoni	Brzozowski	76011129519	a.brzozowski@buziaczek.pl	5439401	
Tekla	Pajewska	76011607745	pajewska1@amorek.com.pl	69782362	
Edward	Myśliwiec	76011747836	mysliwiec@o2.pl	90389914	
Marzena	Baran	76011982943	m.baran@onet.pl	85825261	
Gabriela	Pietrzykowska	76012062943	g.pietrzykowska@gmail.com	27642298	
Salomon	Piskorski	76012201931	s.piskorski@amorek.com.pl	38350652	
Nikodema	Karaś	76012546366	n.karas@amorek.com.pl	12604398	
Wirgiliusz	Adamiuk	76012600792	adamiuk@wp.pl	88578873	
Dżan	Karaś	76021278818	karas@amorek.com.pl	79969988	
Raszyda	Snopkiewicz	76021718549	snopkiewicz@gmail.com	1776460	
Rozetta	Wyrwa	76021829465	wyrwa@amorek.com.pl	25138892	
Dorosława	Arctowska	76021867809	d.arctowska@gmail.com	74078161	
Ładysława	Statkowska	76022034343	statkowska@onet.pl	80060218	
Witołd	Sygietyński	76022711398	w.sygietynski@gmail.com	43058265	
Maryja	Miazga	76022758366	m.miazga@buziaczek.pl	53376349	
Augusta	Zielińska	76030188786	a.zielinska@gmail.com	34894618	
Hektor	Kozakiewicz	76031147171	h.kozakiewicz@wp.pl	98541309	
Hanna	Ekielska	76031671247	ekielska@buziaczek.pl	97771198	
Konrad	Romański	76032078456	romanski@onet.pl	11641758	
Izabela	Gajda	76032302849	gajda@o2.pl	14007717	
Zachariasz	Topolski	76032395375	z.topolski@gmail.com	41317322	
Hildegarda	Grochowska	76032858104	grochowska@amorek.com.pl	26621672	
Ildefons	Świerczyński	76033155255	swierczynski@buziaczek.pl	44827442	
Emilia	Staniewska	76040293225	staniewska@gmail.com	86132268	
Celestyn	Skubiszyński	76040523638	skubiszynski@amorek.com.pl	24186196	
Klemens	Gabrowski	76040639634	k.gabrowski@onet.pl	70775033	
Samuel	Panasewicz	76041081652	panasewicz@gmail.com	59255083	
Kastor	Maciejowski	76042393015	maciejowski@onet.pl	33014945	
Roderyk	Klimczuk	76042660793	r.klimczuk@amorek.com.pl	91622380	
Sławomierz	Dzierżanowski	76050271136	dzierzanowski1@amorek.com.pl	23818747	
Magdalena	Lewek	76051828085	m.lewek@o2.pl	5838761	
Symplicjusz	Wawrzyniak	76052270959	s.wawrzyniak@gmail.com	3674457	
Asteria	Różewicz	76052440640	a.rozewicz@wp.pl	40606234	
Mariola	Pięta	76053008883	m.pieta@onet.pl	83516465	
Edmund	Suchecki	76060100459	suchecki@o2.pl	16576012	
Konstantyn	Białek	76060547753	bialek@o2.pl	96597378	
Mirka	Dołęga-Zakrzewska	76060571640	dolega-zakrzewska1@gmail.com	4000228	
Narcyza	Leja	76061311623	leja@wp.pl	26955808	
Luborad	Rudnicki	76061580870	l.rudnicki@amorek.com.pl	77172995	
Pabian	Berent	76062168910	berent1@o2.pl	93308544	
Alojzy	Pajzderski	76062501531	a.pajzderski@wp.pl	93804646	
Lechosław	Antos	76062525470	l.antos@amorek.com.pl	77134234	
Józef	Kandefer	76062835016	kandefer@amorek.com.pl	39247081	
Miranda	Kaczmarek	76062902905	kaczmarek1@onet.pl	21172230	
Jakub	Żaliński	76070102995	j.zalinski@onet.pl	22903288	
Patrycja	Gutowska	76071209707	p.gutowska@amorek.com.pl	74913061	
Syriusz	Ryba	76071255951	ryba@gmail.com	13698173	
Helena	Dziubińska	76071987067	dziubinska1@wp.pl	23876441	
Milan	Danielak	76072387996	danielak@o2.pl	57307513	
Iwo	Bakuła	76072965112	i.bakula@onet.pl	6478975	
Martyna	Piekarska	76080303106	piekarska@onet.pl	31790276	
Julita	Błachowska	76080552944	j.blachowska@onet.pl	48067084	
Jur	Dobrzyński	76080735679	dobrzynski@o2.pl	58479550	
Lilianna	Rzeźnik	76081163581	l.rzeznik@buziaczek.pl	84710060	
Estera	Pawlicka	76081237224	pawlicka@buziaczek.pl	93335450	
Augusta	Piszczek	76081327167	piszczek@gmail.com	5494669	
Beatrycja	Tomaszewska	76081481180	tomaszewska@onet.pl	79640636	
Norman	Chlebowski	76081755810	chlebowski@o2.pl	23026790	
Lena	Popek	76082810321	l.popek@wp.pl	84867395	
Angelika	Tarczałowicz	76082820980	tarczalowicz@gmail.com	49767653	
Julian	Kulas	76082842834	kulas@onet.pl	72934996	
Klementyna	Konopczyńska	76083177302	konopczynska@amorek.com.pl	51512456	
Farid	Maśliński	76090223977	maslinski@wp.pl	59595830	
Józefina	Adamowska	76090337285	j.adamowska@gmail.com	29971409	
Selena	Kołodziej	76090679563	kolodziej@gmail.com	50300028	
Ewaryst	Wielopolski	76090791650	wielopolski@buziaczek.pl	71372600	
Ludwika	Burzyńska	76091517664	l.burzynska@onet.pl	50657015	
Modest	Stępkowski	76091649051	m.stepkowski@o2.pl	32472968	
Hipolita	Tyszka	76091981766	tyszka@amorek.com.pl	28875662	
Bernadeta	Unrug	76092292463	b.unrug@gmail.com	78402834	
Wiesław	Smolarek	76092520812	smolarek@wp.pl	81384370	
